timestamp,session_id,turn,eou_delay,llm_ttft,tts_ttfb,total
1782878570,9efd3237-72a1-468e-88a0-429fa00c5bf5,4,0.301,0.772,0.296,1.369
1782878595,9efd3237-72a1-468e-88a0-429fa00c5bf5,5,0.301,0.987,0.249,1.537
1782878629,9efd3237-72a1-468e-88a0-429fa00c5bf5,6,0.302,0.774,0.292,1.368
1782880239,6cf14651-ee51-45d8-ad32-0ea76d612433,1,0.301,1.742,0.264,2.306
1782880251,6cf14651-ee51-45d8-ad32-0ea76d612433,2,0.301,0.553,0.225,1.079
1782880266,6cf14651-ee51-45d8-ad32-0ea76d612433,3,0.302,0.679,0.298,1.279
1782880278,6cf14651-ee51-45d8-ad32-0ea76d612433,4,0.301,0.599,0.238,1.138
1782880292,6cf14651-ee51-45d8-ad32-0ea76d612433,5,0.301,0.694,0.253,1.249
1782880306,6cf14651-ee51-45d8-ad32-0ea76d612433,6,0.302,0.872,0.237,1.411
1782880860,06a5d057-11ee-4d73-9a7f-52660f853e0a,1,0.301,1.379,0.267,1.947
1782880871,06a5d057-11ee-4d73-9a7f-52660f853e0a,2,0.301,0.747,0.230,1.279
1782880885,06a5d057-11ee-4d73-9a7f-52660f853e0a,3,0.300,1.195,0.335,1.830
1782880900,06a5d057-11ee-4d73-9a7f-52660f853e0a,4,0.301,1.273,0.395,1.969
1782880914,06a5d057-11ee-4d73-9a7f-52660f853e0a,5,0.301,0.803,0.388,1.492
1782880945,06a5d057-11ee-4d73-9a7f-52660f853e0a,6,0.301,0.578,0.218,1.097
1782880959,06a5d057-11ee-4d73-9a7f-52660f853e0a,7,0.301,3.641,0.251,4.193
1782881029,e3359f1d-c25b-4b1d-b7d8-046831e8790d,1,0.301,1.437,0.316,2.054
1782881040,e3359f1d-c25b-4b1d-b7d8-046831e8790d,2,0.300,0.606,0.831,1.737
1782881053,e3359f1d-c25b-4b1d-b7d8-046831e8790d,3,0.301,0.634,0.300,1.235
1782881068,e3359f1d-c25b-4b1d-b7d8-046831e8790d,4,0.301,0.769,0.305,1.374
1782881091,e3359f1d-c25b-4b1d-b7d8-046831e8790d,5,0.300,0.805,0.318,1.424
1782881120,e3359f1d-c25b-4b1d-b7d8-046831e8790d,6,0.301,0.853,0.251,1.405
1782881138,e3359f1d-c25b-4b1d-b7d8-046831e8790d,7,0.301,0.711,0.324,1.336
1782881165,e3359f1d-c25b-4b1d-b7d8-046831e8790d,8,0.301,0.797,0.385,1.484
1782907101,5c40144d-ad83-4877-9039-d854e68d4ffc,1,0.301,1.644,0.236,2.181
1782970857,b7b29b38-2dba-4ec0-841a-903a5a308282,1,0.302,1.653,0.367,2.322
1782970866,b7b29b38-2dba-4ec0-841a-903a5a308282,2,0.301,0.492,0.226,1.019
1782970877,b7b29b38-2dba-4ec0-841a-903a5a308282,3,0.301,0.622,0.248,1.171
1782970888,b7b29b38-2dba-4ec0-841a-903a5a308282,4,0.301,0.501,0.256,1.058
1782970901,b7b29b38-2dba-4ec0-841a-903a5a308282,5,0.301,0.491,0.286,1.077
1782970911,b7b29b38-2dba-4ec0-841a-903a5a308282,6,0.307,0.555,0.242,1.104
1782970922,b7b29b38-2dba-4ec0-841a-903a5a308282,7,0.301,0.643,0.294,1.238
